kind,algorithm,n,block,repeat,algorithm_ms,wall_ms
scan,Shared unpadded,10000,256,13,0.0204799995,0.3129
scan,Shared unpadded,10000,256,14,0.0204799995,0.313
scan,Shared unpadded,10000,64,0,0.016384,0.3109
scan,Shared unpadded,10000,64,1,0.0174080003,0.3089
scan,Shared unpadded,10000,64,2,0.0174080003,0.3136
scan,Shared unpadded,10000,64,3,0.0174080003,0.308
scan,Shared unpadded,10000,64,4,0.016384,0.3074
scan,Shared unpadded,10000,64,5,0.016384,0.3047
scan,Shared unpadded,10000,64,6,0.0174080003,0.332
scan,Shared unpadded,10000,64,7,0.0174080003,0.3064
scan,Shared unpadded,10000,64,8,0.0174080003,0.3081
scan,Shared unpadded,10000,64,9,0.0174080003,0.333
scan,Shared unpadded,10000,64,10,0.0174080003,0.3213
scan,Shared unpadded,10000,64,11,0.0184320007,0.308
scan,Shared unpadded,10000,64,12,0.0174080003,0.3064
scan,Shared unpadded,10000,64,13,0.0174080003,0.3076
scan,Shared unpadded,10000,64,14,0.0174080003,0.3114
scan,Shared unpadded,10000,1024,0,0.0337920003,0.3224
scan,Shared unpadded,10000,1024,1,0.0337920003,0.33
scan,Shared unpadded,10000,1024,2,0.0327679999,0.3304
scan,Shared unpadded,10000,1024,3,0.0337920003,0.3288
scan,Shared unpadded,10000,1024,4,0.0337920003,0.3227
scan,Shared unpadded,10000,1024,5,0.0337920003,0.3313
scan,Shared unpadded,10000,1024,6,0.0337920003,0.3306
scan,Shared unpadded,10000,1024,7,0.0337920003,0.3296
scan,Shared unpadded,10000,1024,8,0.0337920003,0.333
scan,Shared unpadded,10000,1024,9,0.0337920003,0.3302
scan,Shared unpadded,10000,1024,10,0.0327679999,0.3309
scan,Shared unpadded,10000,1024,11,0.0327679999,0.3265
scan,Shared unpadded,10000,1024,12,0.0337920003,0.3219
scan,Shared unpadded,10000,1024,13,0.0337920003,0.328
scan,Shared unpadded,10000,1024,14,0.0327679999,0.3269
scan,Shared unpadded,10000,128,0,0.0184320007,0.3061
scan,Shared unpadded,10000,128,1,0.0184320007,0.3813
scan,Shared unpadded,10000,128,2,0.0184320007,0.4964
scan,Shared unpadded,10000,128,3,0.0184320007,0.4209
scan,Shared unpadded,10000,128,4,0.0174080003,0.3634
scan,Shared unpadded,10000,128,5,0.0174080003,0.3382
scan,Shared unpadded,10000,128,6,0.0184320007,0.3436
scan,Shared unpadded,10000,128,7,0.0174080003,0.3171
scan,Shared unpadded,10000,128,8,0.0174080003,0.318
scan,Shared unpadded,10000,128,9,0.0184320007,0.3099
scan,Shared unpadded,10000,128,10,0.0184320007,0.3098
scan,Shared unpadded,10000,128,11,0.0184320007,0.3173
scan,Shared unpadded,10000,128,12,0.0174080003,0.3084
scan,Shared unpadded,10000,128,13,0.0174080003,0.3082
scan,Shared unpadded,10000,128,14,0.0184320007,0.3129
scan,Shared unpadded,10000,32,0,0.0245760009,0.3178
scan,Shared unpadded,10000,32,1,0.0245760009,0.315
scan,Shared unpadded,10000,32,2,0.0255999994,0.3174
scan,Shared unpadded,10000,32,3,0.0255999994,0.3204
scan,Shared unpadded,10000,32,4,0.0255999994,0.3289
scan,Shared unpadded,10000,32,5,0.0255999994,0.3404
scan,Shared unpadded,10000,32,6,0.0245760009,0.4038
scan,Shared unpadded,10000,32,7,0.0245760009,0.3437
scan,Shared unpadded,10000,32,8,0.0255999994,0.3256
scan,Shared unpadded,10000,32,9,0.0246079993,0.3232
scan,Shared unpadded,10000,32,10,0.0255999994,0.3247
scan,Shared unpadded,10000,32,11,0.0245760009,0.3217
scan,Shared unpadded,10000,32,12,0.0245760009,0.3222
scan,Shared unpadded,10000,32,13,0.0255999994,0.3427
scan,Shared unpadded,10000,32,14,0.0245760009,0.3231
scan,Efficient unoptimized,10000,32,0,0.201728001,0.5344
scan,Efficient unoptimized,10000,32,1,0.202751994,0.5124
scan,Efficient unoptimized,10000,32,2,0.209920004,0.5442
scan,Efficient unoptimized,10000,32,3,0.309248,0.7065
scan,Efficient unoptimized,10000,32,4,0.333824009,0.7464
scan,Efficient unoptimized,10000,32,5,0.280575991,0.6588
